City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
382,Shimoda,JP,34.6667,138.95,62.96,80,100,7.27,Rain
383,Turukhansk,RU,65.8167,87.9833,11.55,88,100,11.43,Clouds
384,Balsas,BR,-7.5325,-46.0356,74.5,90,100,1.12,Clouds
385,Roma,US,43.2128,-75.4557,35.74,65,0,0.0,Clear
386,Camocim,BR,-2.9022,-40.8411,77.77,89,84,5.61,Clouds
387,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.4,79,0,10.11,Clear
388,Dunedin,NZ,-45.8742,170.5036,61.81,63,8,11.01,Clear
389,Ribeira Grande,PT,38.5167,-28.7,58.01,68,63,20.89,Clouds
390,Cidreira,BR,-30.1811,-50.2056,67.08,75,76,11.5,Clouds
391,Narsaq,GL,60.9167,-46.05,32.22,89,46,1.43,Clouds
392,Pavilosta,LV,56.8879,21.1859,28.31,65,46,4.09,Clouds
393,Te Anau,NZ,-45.4167,167.7167,63.72,52,36,4.45,Clouds
394,Ruteng,ID,-8.6136,120.4721,73.02,78,45,1.52,Clouds
395,Thessalon,CA,46.2501,-83.5666,28.69,82,12,1.66,Clouds
396,Estevan,CA,49.1334,-102.9842,15.22,85,0,6.91,Clear
397,Octeville,FR,49.6261,-1.6435,48.69,93,0,11.5,Clear
398,Honningsvag,NO,70.9821,25.9704,38.95,93,100,8.05,Clouds
399,Kasungu,MW,-13.0333,33.4833,62.02,97,9,2.89,Clear
400,Spa,BE,50.4837,5.8667,48.4,85,0,5.03,Clear
401,At-Bashi,KG,41.1702,75.8106,52.99,37,4,2.89,Clear
402,Oktyabrskoye,RU,43.0645,44.7417,39.34,87,36,4.47,Clouds
403,Portland,US,45.5234,-122.6762,55.99,49,100,9.22,Clouds
404,Harper,LR,4.375,-7.7169,77.11,88,95,0.16,Clouds
405,Adoni,IN,15.6333,77.2833,85.93,45,29,4.65,Clouds
406,Kasongo-Lunda,CD,-6.4667,16.8167,69.64,99,99,1.34,Clouds
407,Road Town,VG,18.4167,-64.6167,78.89,78,40,13.8,Clouds
408,Flin Flon,CA,54.7682,-101.865,21.96,94,97,2.3,Clouds
409,North Bend,US,43.4065,-124.2243,51.71,78,40,8.05,Clouds
410,Presidente Medici,BR,-11.1753,-61.9014,71.64,97,100,3.11,Clouds
411,Chingirlau,KZ,51.095,54.0814,51.64,54,79,6.2,Clouds
412,Gat,IL,31.61,34.7642,87.78,15,21,20.74,Clouds
413,Vestmannaeyjar,IS,63.4427,-20.2734,41.86,72,41,8.3,Clouds
