City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Lagoa,PT,2022-04-10 00:58:11,39.05,-27.9833,55.35,71,100,38.12
229,Barvinkove,UA,2022-04-10 00:58:11,48.9097,37.0205,49.6,74,100,14.76
230,Vao,NC,2022-04-10 00:58:11,-22.6667,167.4833,77.81,81,94,22.08
231,Tura,IN,2022-04-10 00:57:19,25.5198,90.2201,71.92,89,2,3.76
232,Bambous Virieux,MU,2022-04-10 00:55:10,-20.3428,57.7575,77.25,83,40,8.05
233,Aklavik,CA,2022-04-10 00:58:12,68.2191,-135.0107,8.44,87,100,11.83
234,Male,MV,2022-04-10 00:58:12,4.1748,73.5089,84.24,72,68,11.9
235,Woodburn,US,2022-04-10 00:59:13,45.1437,-122.8554,52.11,56,76,11.01
236,Ust-Maya,RU,2022-04-10 00:59:13,60.4167,134.5333,29.1,78,100,6.67
237,Hungund,IN,2022-04-10 00:59:13,16.0667,76.05,82.56,54,100,4.79
238,Los Llanos De Aridane,ES,2022-04-10 00:59:14,28.6585,-17.9182,58.75,67,75,3.44
239,Paidha,UG,2022-04-10 00:59:14,2.4167,30.9855,68.58,55,100,3.2
240,Ossora,RU,2022-04-10 00:59:14,59.2353,163.0719,27.43,72,100,0.38
241,Belem De Sao Francisco,BR,2022-04-10 00:59:14,-8.7539,-38.9658,79.16,65,37,14.54
242,Medveda,RU,2022-04-10 00:59:15,56.5081,92.4078,32.18,92,99,7.52
243,Kaeo,NZ,2022-04-10 00:59:15,-35.1,173.7833,69.33,74,90,9.33
244,Dillon,US,2022-04-10 00:59:16,34.4166,-79.3712,47.03,59,84,9.42
245,Grand Gaube,MU,2022-04-10 00:59:16,-20.0064,57.6608,77.4,86,8,1.99
246,Krasnyy Oktyabr,RU,2022-04-10 00:59:16,56.1167,38.8833,43.0,91,100,11.34
247,Katsuura,JP,2022-04-10 00:59:16,35.1333,140.3,66.52,68,0,4.76
248,Balezino,RU,2022-04-10 00:59:17,57.9796,53.0106,36.07,100,100,7.49
249,Yerbogachen,RU,2022-04-10 00:59:17,61.2767,108.0108,23.47,86,14,8.88
250,Emilio Carranza,MX,2022-04-10 00:59:17,19.9711,-96.6114,72.48,73,68,18.72
251,Saldanha,ZA,2022-04-10 00:59:18,-33.0117,17.9442,62.65,57,0,10.33
252,Zima,RU,2022-04-10 00:59:18,53.9202,102.0442,33.06,74,40,11.9
253,Khandbari,NP,2022-04-10 00:59:18,27.3747,87.2039,66.79,75,59,1.07
254,Severnoye,RU,2022-04-10 00:59:19,56.3491,78.3619,20.01,95,97,3.69
255,Sauda,NO,2022-04-10 00:59:19,59.6506,6.3542,39.69,94,100,8.43
256,Upernavik,GL,2022-04-10 00:59:19,72.7868,-56.1549,-6.75,99,27,3.87
257,Conde,BR,2022-04-10 00:56:48,-7.2597,-34.9075,78.26,89,20,5.75
258,Kalmunai,LK,2022-04-10 00:59:20,7.4167,81.8167,78.44,84,100,5.57
259,Marshall,US,2022-04-10 00:59:20,34.3834,-86.3333,55.71,30,0,8.05
260,Buraydah,SA,2022-04-10 00:59:20,26.326,43.975,73.85,14,41,8.55
261,Rio Branco Do Sul,BR,2022-04-10 00:59:21,-25.19,-49.3142,68.02,98,51,3.4
262,Sakakah,SA,2022-04-10 00:59:21,29.9697,40.2064,65.77,25,0,7.65
263,Luena,AO,2022-04-10 00:59:22,-11.7833,19.9167,62.82,97,100,3.56
264,Sur,OM,2022-04-10 00:59:22,22.5667,59.5289,86.2,40,100,7.31
